FY Obligation Year,Lender_Name,Borrower_Name,Project Name,Main_Address_Line1,City,State Abbreviation,Zip_Code,Date_Loan_Closing,Loan_Amount,Total_Development_Cost,Population_Obligation,Median_Household_Income_Obligation,Total_1_Bedroom_Units,Total_2_Bedroom_Units,Br1 Unit Average Contract Rent,Br2 Unit Average Contract Rent,Construction_Type,Project_Type
2016,"BONNEVILLE MORTGAGE COMPANY, LLC","100 HEALDSBURG AVE., LP",CLOVERDALE FAMILY APARTMENTS,100 HEALDSBURG,CLOVERDALE,CA,954250000,2018-03-28T05:00:00Z,1880000,15792711,8618,63356,0,16,0,1080,NEW CONSTRUCTION,MIXED
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","1001 LILLY HILL PARTNERS, LP",LILLY HILL APARTMENTS,1001 LILLY HILL DRIVE,NEEDLES,CA,923630000,2015-09-09T05:00:00Z,2037667,6816514,4844,55853,12,32,274,326,REHAB/REPAIR,FAMILY
2019,"BONNEVILLE MORTGAGE COMPANY, LLC","1002 WALNUT AVE., LP",WALNUT GROVE APARTMENTS,WALNUT AVENUE,GREENFIELD,CA,939270000,2020-08-10T05:00:00Z,6200000,29296797,16330,63249,0,8,0,1300,NEW CONSTRUCTION,OTHER
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","1006 GOLDEN VALLEY DR., L.P.",GREEN VALLEY HOMES,1006 GOLDEN VALLEY DRIVE,WILLIAMS,CA,959870000,2018-05-09T05:00:00Z,1068000,20125210,5123,50503,0,5,0,661,NEW CONSTRUCTION,FAMILY
2021,"BONNEVILLE MORTGAGE COMPANY, LLC","1020 KENDREA PL., LP",KENDREA TERRACE,1006 GOLDEN VALLEY DRIVE,MCFARLAND,CA,932500000,2021-03-29T05:00:00Z,3800000,31580241,14456,33281,0,8,0,995,NEW CONSTRUCTION,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","1050 KENDREA PL., LP",KENDREA PLACE APARTMENTS,1099 KENDREA PLACE,MC FARLAND,CA,932500000,2015-08-19T05:00:00Z,975000,11880595,12707,48021,8,24,538,387,NEW CONSTRUCTION,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","1110 S. I ST., LP",REEDLEY FAMILY APARTMENTS,1110 S. I STREET,REEDLEY,CA,936540000,2016-10-28T05:00:00Z,1100000,10337801,24194,46903,8,24,322,387,NEW CONSTRUCTION,FAMILY
2023,"BONNEVILLE MORTGAGE COMPANY, LLC","1480 SKELTON ST., LP",VALLEY VIEW TERRACE III,1480 SKELTON STREET,SELMA,CA,936620000,2023-06-21T05:00:00Z,2000000,23088992,24405,72900,0,3,0,1200,NEW CONSTRUCTION,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","15999 AVENUE 327, L.P.",IVANHOE FAMILY APARTMENTS,15999 AVENUE 327,IVANHOE,CA,932350000,2014-01-22T06:00:00Z,1352464,16947368,4495,43397,16,36,317,380,NEW CONSTRUCTION,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","1600 LILLY HILL PARTNERS, LP",MESA GRANDE APARTMENTS,1600 LILLY HILL DRIVE,NEEDLES,CA,923630000,2015-09-09T05:00:00Z,653750,4806655,4844,55853,45,1,333,645,REHAB/REPAIR,SENIOR
2015,"BONNEVILLE MORTGAGE COMPANY, LLC","1625 SAN CARLOS ST., L.P.",VALLEY VIEW HOMES,1625 SAN CARLOS STREET,SELMA,CA,936620000,2017-08-30T05:00:00Z,1945000,18012427,23219,45741,0,8,0,835,NEW CONSTRUCTION,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","1715 WASHINGTON ST., LP",CALISTOGA FAMILY APARTMENTS,1715 WASHINGTON STREET,CALISTOGA,CA,945150000,2016-08-03T05:00:00Z,2018077,18739562,5155,68641,16,15,455,547,NEW CONSTRUCTION,FAMILY
2017,"BONNEVILLE MORTGAGE COMPANY, LLC","1758 LAUREL AVE., LP",SOLVANG SENIOR APARTMENTS,1758 LAUREL AVENUE,SOLVANG,CA,934630000,2017-10-11T05:00:00Z,1800000,9247284,5245,72800,41,4,385,805,NEW CONSTRUCTION,SENIOR
2006,MERCHANTS CAPITAL CORP.,2005 DAKOTA MANOR HOUSING PARTNERSHIP LP,DAKOTA MANOR APARTMENTS,202 4TH AVE NE,DEVILS LAKE,ND,583013020,2008-01-01T06:00:00Z,427489,1219989,7222,31250,6,18,489,545,REHAB/REPAIR,SENIOR
2006,CHURCHILL MORTGAGE INVESTMENT LLC,"2005 GILBERTSON/FIREHOUSE APTS., L.P.",GILBERTSON FIREHOUSE APARTMENT,416 & 418 5TH STREET,DEVILS LAKE,ND,583010000,2008-06-30T05:00:00Z,400000,1520374,7222,52550,32,8,532,620,REHAB/REPAIR,FAMILY
2006,MERCHANTS CAPITAL CORP.,"2005 GRAFTON LIVING CENTER, L.P.",GRAFTON LIVING CENTER,809 W. 12TH STREET,GRAFTON,ND,582372100,2008-04-01T05:00:00Z,295000,1545960,4516,51600,16,0,495,0,REHAB/REPAIR,SENIOR
2006,CHURCHILL MORTGAGE INVESTMENT LLC,"2005 LANGDON VILLAGE, L.P",PARK VILLAGE OF LANGDON,1724 6TH STREET,LANGDON,ND,583010910,2008-06-26T05:00:00Z,580000,2869783,2101,28839,0,32,0,493,REHAB/REPAIR,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","2245 VALLEY VIEW ST., L.P.",VALLEY VIEW VILLAGE,2245 VALLEY VIEW STREET,SELMA,CA,936220000,2013-03-21T05:00:00Z,775000,16439988,19444,34725,15,51,582,739,NEW CONSTRUCTION,FAMILY
2014,"BONNEVILLE MORTGAGE COMPANY, LLC","444 ROPES AVE., LP",BRAVO VILLAGE,444 ROPES AVENUE,WOODLAKE,CA,932860000,2014-07-29T05:00:00Z,1235000,15673386,7279,43397,16,24,613,735,NEW CONSTRUCTION,FAMILY
2020,"BONNEVILLE MORTGAGE COMPANY, LLC","510 BRUSH ST., LP",BRUSH MEADOW APARTMENTS,510 BRUSH STREET,UKIAH,CA,954820000,2020-09-14T05:00:00Z,3300000,29913094,16075,46528,24,36,720,1001,NEW CONSTRUCTION,FAMILY
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","5400 GADDY LN., L.P.",KELSEYVILLE FAMILY APARTMENTS,5400 GADDY LN,KELSEYVILLE,CA,954510000,2022-04-29T05:00:00Z,2880000,29205599,3560,42418,0,18,0,777,NEW CONSTRUCTION,FAMILY
2010,"BONNEVILLE MORTGAGE COMPANY, LLC","650 HAIL LN., LP",MCFARLAND FAMILY APARTMENTS,1030 KENDREA ST.,MCFARLAND,CA,932500000,2012-03-29T05:00:00Z,1863000,13163602,9618,35446,24,32,301,356,NEW CONSTRUCTION,FAMILY
2011,"BONNEVILLE MORTGAGE COMPANY, LLC",7250 DI GIORGIO RD LP,DI GIORGIO FAMILY APARTMENTS,7000 DI GIORGIO RD,LAMONT,CA,932410000,2011-06-29T05:00:00Z,2720000,11901100,13296,35466,16,32,297,297,NEW CONSTRUCTION,FAMILY
2010,"BONNEVILLE MORTGAGE COMPANY, LLC","750 GRANDE ASSOCIATES, A CA LP",ROOSEVELT FAMILY APARTMENTS,748 KELLY COURT,NIPOMO,CA,934440000,2010-09-03T05:00:00Z,4150000,14556155,12626,42428,0,0,0,0,NEW CONSTRUCTION,FAMILY
2012,"BONNEVILLE MORTGAGE COMPANY, LLC","751 DRISKELL AVENUE, L.P.",NEWMAN FAMILY APARTMENTS,1118 M. STREET,NEWMAN,CA,953600000,2012-04-10T05:00:00Z,2000000,12800379,7093,40101,28,16,334,402,NEW CONSTRUCTION,FAMILY
2020,"BONNEVILLE MORTGAGE COMPANY, LLC",802 CENTER L.P.,802 CENTER APARTMENTS,802 CENTER STREET,WARSAW,IN,465803325,2023-03-03T06:00:00Z,2400000,14030265,13559,57190,0,73,0,597,NEW CONSTRUCTION,SENIOR
2005,"PNC BANK, N.A.","81 CASA DE ROSA APARTMENTS, L.P.",CASA DE ROSA APARTEMENTS,654 LOZANO STREET,MENDOTA,CA,936400000,2006-03-15T06:00:00Z,2185397,10832969,7890,23705,8,25,414,471,NEW CONSTRUCTION,FAMILY
2016,"BONNEVILLE MORTGAGE COMPANY, LLC","9355 AVENIDA MARIA, L.P.",ATASCADERO FAMILY APARTMENTS,9355 AVENIDA MARIA,ATASCADERO,CA,934220000,2018-10-17T05:00:00Z,4975000,29050309,28310,59454,0,22,0,520,NEW CONSTRUCTION,FAMILY
2020,MERCHANTS CAPITAL CORP.,"AARONFIELD AT MILLER'S CREEK, LLC",AARONFIELD AT MILLER'S CREEK,306 MILLER'S CREEK DRIVE,WINSTON SALEM,NC,271270000,2020-04-16T05:00:00Z,1541519,8140611,3843,49472,8,29,390.67,477.67,NEW CONSTRUCTION,FAMILY
2020,MERCHANTS CAPITAL CORP.,"AARONFIELD AT OLD FOLKSTONE, LLC",AARONFIELD AT OLD FOLKSTONE,905 OLD FOLKSTONE RD,SNEADS FERRY,NC,284600000,2020-02-28T06:00:00Z,1969532,11821649,3601,53000,18,38,437.5,512.33,NEW CONSTRUCTION,FAMILY
2007,"PNC BANK, N.A.",ABBY'S CROSSING LIMITED PARTNERSHIP,ABBY'S CROSSING,301 VIRGINIA STREET,BETHESDA,OH,437190000,2008-01-29T06:00:00Z,285000,4878300,1413,24358,22,20,287,312,REHAB/REPAIR,FAMILY
2006,"PNC BANK, N.A.","ABCAP BROWN COUNTY HOUSING, LLC",MORRISON PLACE,620 E STATE ST,GEORGETOWN,OH,451210000,2006-11-28T06:00:00Z,725000,3920328,3691,29807,0,24,0,417,NEW CONSTRUCTION,SENIOR
2008,"LUMENT REAL ESTATE CAPITAL, LLC","ADA HEIGHTS, LIMITED PARTNERSHIP",ADA HEIGHTS APARTMENTS,701 W. COTTAGE ST,ADA,OK,648010000,2011-11-30T06:00:00Z,410000,4880188,15691,31805,16,36,424,499,NEW CONSTRUCTION,SENIOR
2007,"LUMENT REAL ESTATE CAPITAL, LLC",ADA SQUARE LIMITED PARTNERSHIP,ADA SQUARE APARTMENTS,2001 B STREET,ADA,OK,748200000,2010-12-17T06:00:00Z,900000,3071848,14765,22977,24,32,395,485,REHAB/REPAIR,SENIOR
2015,BELLWETHER ENTERPRISE REAL ESTATE,AHDF-NEVADA WOODS LIMITED PARTNERSHIP,NEVADA WOODS APARTMENTS,360 SUTTON WAY,GRASS VALLEY,CA,959450000,2016-08-04T05:00:00Z,2039000,10379586,13210,73500,18,30,352,385,REHAB/REPAIR,FAMILY
2021,"BONNEVILLE MORTGAGE COMPANY, LLC","ALBEMARLE HOTEL DEVELOPMENT, LLC",ALBEMARLE HOTEL,197 N. 2ND STREET,ALBEMARLE,NC,280010000,2022-05-19T05:00:00Z,4600000,9398117,15903,90300,23,5,998.39,1018,REHAB/REPAIR,FAMILY
2009,"BANK OF OKLAHOMA, N.A.","ALDRIDGE HOUSING ASSOCIATES, LP",THE ALDRIDGE - SHAWNEE,20 E 9TH STREET,SHAWNEE,OK,748020000,2009-11-12T06:00:00Z,1840000,10271933,20000,32475,44,17,475,675,REHAB/REPAIR,FAMILY
2010,BELLWETHER ENTERPRISE REAL ESTATE,"ALE HOUSING, LP",BAYSIDE APARTMENTS,1106 24TH STREET,ANACORTES,WA,982210000,2010-10-01T05:00:00Z,610000,2347220,16738,61300,0,20,0,550,REHAB/REPAIR,FAMILY
2010,BELLWETHER ENTERPRISE REAL ESTATE,"ALE HOUSING, LP",APPLE VALLEY APARTMENTS,8611 DEPOT ROAD,LYNDEN,WA,982640000,2010-10-01T05:00:00Z,895000,2684341,11737,50381,26,4,545,700,REHAB/REPAIR,SENIOR
2010,BELLWETHER ENTERPRISE REAL ESTATE,"ALE HOUSING, LP",GOLDEN ELM APARTMENTS,1323 BATTERSBY AVE,ENUMCLAW,WA,980220000,2010-10-01T05:00:00Z,1715000,3848370,10684,57078,22,13,685,800,REHAB/REPAIR,SENIOR
2022,"BONNEVILLE MORTGAGE COMPANY, LLC","ALEX CITY I - HALL NEW APARTMENTS, LTD.",CORNERSTONE APARTMENTS,1702 CORNERSTONE APARTMENTS,ALEXANDER CITY,AL,350110000,2023-03-13T05:00:00Z,830000,7217437,14317,57500,8,32,370,420,OTHER,FAMILY
2006,"PNC BANK, N.A.",ALEXANDER YARD LIMITED PARTNERSHIP,ALEXANDER YARD,633 CENTER STREET,NEW LEXINGTON,OH,437640000,2007-02-26T06:00:00Z,310000,4954152,4689,28406,0,42,0,380,REHAB/REPAIR,FAMILY
2012,"LUMENT REAL ESTATE CAPITAL, LLC",ALLEGHENY POINTE LIMITED PARTNERSHIP,ALLEGHENY POINTE,168 CEDAR DRIVE,APOLLO,PA,156130000,2012-08-31T05:00:00Z,1000000,10119510,8206,47689,0,52,0,230,NEW CONSTRUCTION,FAMILY
2017,BELLWETHER ENTERPRISE REAL ESTATE,ALPINE VILLAGE APARTMENTS LP,ALPINE VILLAGE APARTMENTS,500 SHAFFER STREET,TERRA ALTA,WV,267640000,2019-03-29T05:00:00Z,700000,4446367,1477,64600,20,24,590,725,REHAB/REPAIR,FAMILY
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","ALVARADO SENIOR HOUSING, L.P.",ALVARADO SENIOR APARTMENTS,1035 NORTH CUMMINGS,ALVARADO,TX,760090000,2018-10-17T05:00:00Z,580000,2874812,3785,58135,20,4,575,700,REHAB/REPAIR,SENIOR
2022,BELLWETHER ENTERPRISE REAL ESTATE,"AMELIA VILLAGE, L.P.",AMELIA VILLAGE,3605 16TH STREET,VERO BEACH,FL,329600000,2023-10-16T05:00:00Z,1700000,6290444,15220,77600,20,30,764,791,REHAB/REPAIR,SENIOR
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","AMERICAN COVENANT SUMMERHILL I, LLC",SUMMERHILL I APARTMENTS,1279 WEST 360 NORTH,ST. GEORGE,UT,847700000,2019-09-20T05:00:00Z,1090000,3092058,72897,49498,4,16,550,585,REHAB/REPAIR,FAMILY
2018,"BONNEVILLE MORTGAGE COMPANY, LLC","AMERICAN COVENANT SUMMERHILL II, LLC",SUMMERHILL II APARTMENTS,1235 WEST 360 NORTH,ST. GEORGE,UT,847700000,2019-09-20T05:00:00Z,1010000,3236424,72897,49498,4,16,540,575,REHAB/REPAIR,FAMILY
2013,"BONNEVILLE MORTGAGE COMPANY, LLC","AMY LYN KELLOGG, LLC",AMY LYN APTS.,115 EAST PORTLAND AVENUE,KELLOGG,ID,838372444,2013-10-28T05:00:00Z,1500000,4502517,2120,36654,0,25,0,637,REHAB/REPAIR,FAMILY
