Hub,Servicing Site,REMS Proerty ID,Property Name,Project Street Address 1,Project City Address,Project State,Project Zip Code,Project Zip Code Plus 4,Project Occupancy Date,Project FHA Number,SOA Numeric Name,SOA Description,Project Number of Units,Project Number of Assisted Units,Initial Endorsement Date,Final Endorsement Date,Loan Maturity Date,Original Mortgage Amount,Original Interest Rate,Amortized Unpaid Principal Balance,Owner Organization Name
Atlanta,Atlanta,800012213,NORTH WILLOWS,168 FERNWOOD ST,JACKSON,MS,39206,3014,02-Feb-92,065HH001,202,202/162 Direct Loan for Handicapped w/PAC,11,10,30-Sep-91,28-Sep-92,01-May-32,"$404,300.00",9,"$203,575.98","NORTH WILLOWS, INC."
Atlanta,Atlanta,800013312,WNC COMMUNITY HOMES #3,495 TRIPOLIS ST,CONCORD,NC,28025,9015,21-Nov-91,053HH018,202,202/162 Direct Loan for Handicapped w/PAC,7,6,14-Jun-91,03-Feb-93,01-Dec-31,"$224,700.00",9,"$118,329.47",WESTERN NORTH CAROLINA COMMUNITY HOMES #3 INC
Atlanta,Atlanta,800013295,WHITTECAR HOME,3257 Lake Woodard Dr,Raleigh,NC,27604,3660,21-May-92,053HH039,202,202/162 Direct Loan for Handicapped w/PAC,7,6,22-Nov-91,26-May-93,01-Aug-32,"$242,500.00",8.375,"$119,731.80","WHITTECAR HOME, INC."
Atlanta,Atlanta,800000356,ONDERDONK COTTAGES,1750 SHELTON BEACH RD S,MOBILE,AL,36613,3427,10-Jul-92,062HH003,202,202/162 Direct Loan for Handicapped w/PAC,25,24,17-Sep-91,19-May-93,01-Sep-32,"$959,400.00",9,"$497,896.51","MOBILE VOA INDEPENDENT HOUSING, INC."
Atlanta,Atlanta,800012455,AS DURHAM CO. GROUP HOME #1,5004 KENWOOD RD,DURHAM,NC,27712,9718,24-Mar-92,053HH050,202,202/162 Direct Loan for Handicapped w/PAC,7,6,25-Sep-91,11-Dec-92,01-Jun-32,"$227,000.00",8.375,"$110,374.35",AUTISM SOCIETY DURHAM COUNTY HOUSING CORP. #1
Atlanta,Atlanta,800012990,JADE TREE/GLEN EDEN Group Home,6501 JADE TREE LN,RALEIGH,NC,27615,6914,03-Jul-91,053HH020,202,202/162 Direct Loan for Handicapped w/PAC,7,6,25-Mar-91,20-Aug-92,01-Dec-31,"$219,000.00",8.5,"$103,681.11","GLEN EDEN GROUP HOME FOR THE AUTISTIC, Inc."
Atlanta,Atlanta,800007673,HENDERSON GROUP HOME,1660 S MAIN ST,HENDERSON,KY,42420,4363,06-Jan-92,083HH005,202,202/162 Direct Loan for Handicapped w/PAC,9,8,26-Feb-91,13-May-92,01-Jan-32,"$223,400.00",9,"$108,928.33","Henderson Group Home, Inc."
Atlanta,Atlanta,800012456,AS MECKLENBURG CO. G.H. #1,5215 PINEBROOK DR,CHARLOTTE,NC,28208,2437,24-Feb-92,053HH049,202,202/162 Direct Loan for Handicapped w/PAC,7,6,25-Sep-91,21-Dec-92,01-Apr-32,"$229,200.00",8.5,"$110,647.95",AUTISM SOCIETY MECKLENBURG CO HOUSING CORP #1
Atlanta,Atlanta,800000357,CHRISTOPHERSON ESTATES,1385 AZALEA RD,MOBILE,AL,36693,4732,10-Jul-92,062HH002,202,202/162 Direct Loan for Handicapped w/PAC,22,21,17-Sep-91,19-May-93,01-Sep-32,"$914,600.00",9,"$474,647.38","MOBILE VOA LIVING CENTER, INC."
Atlanta,Atlanta,800012704,AS WAKE CO. G.H. #1,113 DICKENS DR,RALEIGH,NC,27610,2424,01-Apr-92,053HH048,202,202/162 Direct Loan for Handicapped w/PAC,7,6,25-Sep-91,29-Jan-93,01-Jun-32,"$245,700.00",8.375,"$119,473.15",AUTISM SOCIETY WAKE CO HSG CORP #1
Atlanta,Atlanta,800012454,AS NEW HANOVER CO. G.H. #2,1507 ROBIN HOOD RD,WILMINGTON,NC,28401,6623,30-Dec-91,053HH047,202,202/162 Direct Loan for Handicapped w/PAC,7,6,25-Sep-91,09-Nov-92,01-Feb-32,"$221,200.00",8.5,"$105,055.03",AUTISM SOCIETY NEW HANOVER CO. HOUSING CORP.2
Atlanta,Atlanta,800012453,AS NEW HANOVER CO. G.H. #1,1519 ROBERT E. LEE DR,WILMINGTON,NC,28412,7180,30-Dec-91,053HH046,202,202/162 Direct Loan for Handicapped w/PAC,7,6,25-Sep-91,09-Nov-92,01-Feb-32,"$230,600.00",8.5,"$109,521.30",Autism Society New Hanover Co. Hsg. Corp. #1
Atlanta,Atlanta,800012452,AS Mecklenburg CO. G.H. #2,4319 Mantle CT,CHARLOTTE,NC,28205,7243,24-Feb-92,053HH054,202,202/162 Direct Loan for Handicapped w/PAC,7,6,25-Sep-91,21-Dec-92,01-Apr-32,"$218,700.00",8.5,"$105,589.84",Autism Society Mecklenburg Co Housing Corp #2
Atlanta,Atlanta,800007664,Hallmark Group Home,606 HOOK LN,HARDINSBURG,KY,40143,2564,19-Sep-91,083HH006,202,202/162 Direct Loan for Handicapped w/PAC,8,8,28-Nov-90,07-Feb-92,01-Jul-31,"$237,800.00",8.375,"$107,719.29",Hallmark Inc
Atlanta,Atlanta,800007862,RUSSELLVILLE RESIDENCE,105 EDGEWOOD DR,RUSSELLVILLE,KY,42276,2354,02-Jan-92,083HH003,202,202/162 Direct Loan for Handicapped w/PAC,8,8,29-May-91,13-May-92,01-Jan-32,"$245,000.00",9,"$119,445.93",Lifeskills Residential
Atlanta,Atlanta,800020443,QUINCO GROUP HOME,333 S WATER ST,BOLIVAR,TN,38008,2736,05-May-92,081EH146,202,202/8 Direct Loan/ Elderly-Handicapped,9,8,30-Sep-91,22-Mar-93,01-May-32,"$216,100.00",9,"$109,732.45","QUINCO HOMES, INC"
Atlanta,Atlanta,800000456,PRESBYTERIAN OAKS,408 5TH ST S,TALLADEGA,AL,35160,2584,24-Apr-89,062EH165,202,202/8 Direct Loan/ Elderly-Handicapped,40,40,23-Aug-88,16-Feb-90,01-Aug-29,"$1,249,400.00",9,"$445,662.96","TALLADEGA PRESBYTERIAN APARTMENTS, INC."
Atlanta,Atlanta,800000245,PORT MAYACA TERRACE,1225 JAMES DR,ENTERPRISE,AL,36330,2061,11-Mar-92,062EH275,202,202/8 Direct Loan/ Elderly-Handicapped,30,29,28-Sep-91,25-Jan-93,01-Jul-32,"$915,700.00",8.5,"$452,649.84","Enterprise VOA Elderly Housing, Inc."
Atlanta,Atlanta,800020435,PLAZA TOWERS,224 Thornwood Dr.,GREENEVILLE,TN,37745,4216,26-Nov-84,087EH047,202,202/8 Direct Loan/ Elderly-Handicapped,114,113,27-Sep-83,12-Sep-85,01-Jun-25,"$4,114,100.00",9.25,"$220,763.89","CHRISTIAN SENIOR HSNG. FOUNDATION,INC."
Atlanta,Atlanta,800000387,PHOENIX HOUSE APARTMENTS,4400 KNIGHT RD,HUNTSVILLE,AL,35805,5534,31-Dec-91,062EH256,202,202/8 Direct Loan/ Elderly-Handicapped,14,14,30-Nov-90,10-Jun-92,01-Aug-31,"$560,800.00",8.375,"$250,837.00","PHOENIX HOUSE, INC."
Atlanta,Atlanta,800000482,OZARK GROUP HOME,306 HARRIS RD,OZARK,AL,36360,2494,07-Apr-86,062EH106,202,202/8 Direct Loan/ Elderly-Handicapped,10,9,26-Sep-85,26-Feb-88,01-Aug-26,"$269,400.00",9.25,"$41,146.52","Volunteers of America GROUP HOMES OF OZARK, INC."
Atlanta,Atlanta,800020454,Ridgecrest Group Home,27 2ND FAIRMONT AVE,MONTEAGLE,TN,37356,778,31-May-85,087EH072,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,08-Jun-84,06-Jun-86,01-Jun-25,"$297,300.00",9.25,"$15,976.55",Hamilton County Mental Health Assoc. Housing Corp.
Atlanta,Atlanta,800000380,PARKLAND PLACE,2535 HIGHLAND AVE,BIRMINGHAM,AL,35205,2464,28-Jan-91,062EH222,202,202/8 Direct Loan/ Elderly-Handicapped,10,9,29-May-90,29-Oct-91,01-Feb-31,"$259,600.00",8.375,"$109,387.76",PARK PLACE CORPORATION
Atlanta,Atlanta,800020468,Roller Russ Residence,2221 MEMORIAL CT,KINGSPORT,TN,37664,3339,02-Feb-89,087EH101,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,23-Aug-88,18-Dec-89,01-Jun-29,"$313,900.00",9,"$108,804.36",The Roller-Russ Residence for Independent Living
Atlanta,Atlanta,800012272,SAINT FRANCIS APARTMENTS,315-A LUMBER ST,NATCHEZ,MS,39120,3090,30-Apr-91,065EH160,202,202/8 Direct Loan/ Elderly-Handicapped,40,40,28-Sep-90,28-Feb-92,01-Jan-32,"$1,193,500.00",8.375,"$557,389.72","ST. FRANCIS APARTMENTS, INC."
Atlanta,Atlanta,800012273,SAINT MARK'S VILLA APARTMENTS,917 W PEARL ST,JACKSON,MS,39203,3011,20-Mar-91,065EH158,202,202/8 Direct Loan/ Elderly-Handicapped,24,24,12-Jun-90,30-Jan-92,01-Aug-31,"$786,500.00",8.375,"$351,205.28",ST. MARKS EPISCOPAL HOUSING DEV. CORP.
Atlanta,Atlanta,800013188,SCOTT MITCHELL APARTMENTS II,324 Duke Dr Ofc,Norlina,NC,27563,9273,08-Nov-89,053EH555,202,202/8 Direct Loan/ Elderly-Handicapped,16,16,31-Mar-89,18-May-90,01-Mar-30,"$551,400.00",8.625,"$209,477.83",NORTH CENTARL HSG.DEV.CORP.PHASE II
Atlanta,Atlanta,800020496,SIMMONS MANOR,717 Greenwood ST,KINGSTON,TN,37763,2522,24-Jun-88,087EH121,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,17-Dec-87,20-Apr-89,01-Oct-28,"$208,900.00",9,"$65,038.31","Simmons Manor, Inc."
Atlanta,Atlanta,800013197,SMC GROUP HOME II,628 FLOWE DR,CHARLOTTE,NC,28213,5607,15-May-86,053EH315,202,202/8 Direct Loan/ Elderly-Handicapped,6,5,25-Nov-85,13-Sep-88,01-Aug-26,"$194,900.00",9.25,"$29,833.29","SMC Group Home II, Inc."
Atlanta,Atlanta,800020403,OAKHAVEN VILLAGE,109 Birch St,Adamsville,TN,38310,2307,10-Jul-85,081EH085,202,202/8 Direct Loan/ Elderly-Handicapped,24,23,05-Oct-84,08-Apr-86,01-Sep-25,"$720,700.00",9.25,"$58,128.79","HOUSING FOR THE ELDERLY OF ADAMSVILLE, INC"
Atlanta,Atlanta,800007883,SOWDERS MANOR,1 Whitesburg Hollow Rd,Barbourville,KY,40906,7492,07-Sep-90,083EH243,202,202/8 Direct Loan/ Elderly-Handicapped,14,14,21-Dec-89,24-Jan-91,01-Jan-31,"$504,800.00",8.375,"$210,564.02",KENTUCKY COMMUNITIES HOUSING CORP
Atlanta,Atlanta,800000339,MARC GROUP HOMES,4565 SOLLIE ROAD,MOBILE,AL,36619,1454,13-Nov-86,062EH138,202,202/8 Direct Loan/ Elderly-Handicapped,20,18,13-Nov-86,18-Apr-88,01-Aug-27,"$537,900.00",9.25,"$123,542.63","MARC GROUP HOMES, INC."
Atlanta,Atlanta,800020477,South Holston Development Corporation,2940 Broad ST,BRISTOL,TN,37620,3414,08-Mar-88,087EH116,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,30-Sep-87,17-Nov-88,01-Jul-28,"$206,100.00",9.25,"$60,615.85",South Holston Development Corporation
Atlanta,Atlanta,800005002,Tattnall Evans Manor,312 Henry St,Glennville,GA,30427,2456,22-May-89,061EH160,202,202/8 Direct Loan/ Elderly-Handicapped,6,5,21-Dec-88,25-May-90,01-Jul-29,"$144,800.00",9.25,"$57,257.84","Tattnal Evans Hsng, Inc."
Atlanta,Atlanta,800012163,KINGS DAU & SONS GROUP,1095 CALHOUN AVE,YAZOO CITY,MS,39194,2937,11-Aug-87,065EH123,202,202/8 Direct Loan/ Elderly-Handicapped,12,12,24-Dec-86,16-Mar-88,01-Aug-27,"$357,400.00",9.25,"$82,058.82","Kings Daughters and Sons Group Home, Inc."
Atlanta,Atlanta,800012165,KNIGHTS OF PETER CLAVER,1401 KESTEVAN ALY,TUNICA,MS,38676,0,29-Jan-91,065EH127,202,202/8 Direct Loan/ Elderly-Handicapped,36,36,25-May-90,30-Sep-91,01-Jun-31,"$1,186,000.00",8.375,"$519,804.98","KNIGHTS OF PETER CLAVER, INC."
Atlanta,Atlanta,800004831,Laurens County Resources,202 Hillcrest DR,DUBLIN,GA,31021,5420,27-Mar-91,061EH196,202,202/8 Direct Loan/ Elderly-Handicapped,10,8,27-Sep-90,25-Sep-92,01-Apr-31,"$251,000.00",8.375,"$134,854.66",Laurens County Resources Inc
Atlanta,Atlanta,800020314,LEBANON SQUARE,310 Hill St,Lebanon,TN,37087,2642,06-May-88,086EH104,202,202/8 Direct Loan/ Elderly-Handicapped,47,46,02-Sep-87,07-Aug-89,01-Aug-28,"$1,634,600.00",9.25,"$489,833.36","LEBANON SENIOR HOUSING, INC"
Atlanta,Atlanta,800004834,Liberty Group Homes,760-A S Main ST,HINESVILLE,GA,31313,4613,16-Jan-86,061EH082,202,202/8 Direct Loan/ Elderly-Handicapped,10,8,25-Oct-84,11-Jul-86,01-Jun-25,"$256,700.00",9.25,"$13,756.05",Liberty Group Homes Inc
Atlanta,Atlanta,800012173,LINTONIA APARTMENTS,203 E NINTH ST,YAZOO CITY,MS,39194,3200,28-Apr-86,065EH074,202,202/8 Direct Loan/ Elderly-Handicapped,48,48,29-Jun-84,21-Dec-87,01-Oct-25,"$1,672,000.00",9.25,"$138,910.89","YAZOO COUNTY FAIR AND CIVIC LEAGUE, INC."
Atlanta,Atlanta,800000335,MARTIN LUTHER HOMES,400 NORTH STRAWBERRY  ST,DEMOPOLIS,AL,36732,2107,31-Aug-90,062EH225,202,202/8 Direct Loan/ Elderly-Handicapped,34,34,15-Nov-89,28-Feb-91,01-Nov-30,"$1,004,100.00",8.375,"$410,101.40","MARTIN LUTHER HOMES FOR THE HANDICAPPED, INC."
Atlanta,Atlanta,800012183,MAGNOLIA APTS,220 N THIRD ST,SALTILLO,MS,38866,9183,22-Mar-84,065EH057,202,202/8 Direct Loan/ Elderly-Handicapped,24,24,29-Sep-83,02-May-85,01-Dec-24,"$678,600.00",9.25,"$5,327.80",Better Community Corporation
Atlanta,Atlanta,800000374,OAK HILL APARTMENTS,407 BRANTLEY ST,OPP,AL,36467,1757,12-Feb-90,062EH228,202,202/8 Direct Loan/ Elderly-Handicapped,37,36,17-Aug-89,28-Dec-90,01-May-30,"$963,200.00",9.25,"$392,798.94","OPP VOA ELDERLY HOUSING, INC."
Atlanta,Atlanta,800004855,MARC Resources IV,1612 Jefferson Road,MACON,GA,31210,,29-Aug-91,061EH209,202,202/8 Direct Loan/ Elderly-Handicapped,12,10,26-Apr-91,25-Sep-92,01-Nov-31,"$323,000.00",8.375,"$148,170.45","MARC Resources IV, Inc."
Atlanta,Atlanta,800007886,SPINDLETOP APARTMENTS,166 DONABROOK CT,LEXINGTON,KY,40517,1100,07-Oct-87,083EH168,202,202/8 Direct Loan/ Elderly-Handicapped,9,8,19-Mar-87,17-Mar-88,01-Nov-27,"$248,200.00",9.25,"$61,483.00","Spindletop Apartments, Inc."
Atlanta,Atlanta,800020329,MOUNTAINSIDE MANOR,116 N Magnolia Ave,South Pittsburg,TN,37380,1150,15-Mar-85,087EH073,202,202/8 Direct Loan/ Elderly-Handicapped,11,10,23-Mar-84,06-Jun-86,01-Apr-25,"$310,100.00",9.25,"$12,631.98",Hamilton County Mental Health Assoc. Housing Corp.
Atlanta,Atlanta,800012204,NCBA ESTATES OF JACKSON,811 FOREST AVE,JACKSON,MS,39206,3272,16-Jul-86,065EH086,202,202/8 Direct Loan/ Elderly-Handicapped,49,49,02-Jul-85,15-Jun-87,01-Jul-35,"$665,767.21",3,"$478,219.44",National Caucus and Center on Black Aged Housing S
Atlanta,Atlanta,800012204,NCBA ESTATES OF JACKSON,811 FOREST AVE,JACKSON,MS,39206,3272,16-Jul-86,065EH086,202,202/8 Direct Loan/ Elderly-Handicapped,49,49,02-Jul-85,15-Jun-87,01-Jul-35,"$665,767.21",3,"$478,219.44",National Caucus and Center on Black Aged Housing S
